method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp,h_label,h_pred
SC-Pairwise-Qwen-7B-Majority@k,posthoc-sc,SC pairwise Qwen2.5-7B-Instruct Majority@k,0.25,0.5556,0.3947,0.4972,-0.0169,0.9141,0.0526,0.744,38,20,18,2026-03-10T13:40:32.044136+00:00,0.0,0.0
SC-Pairwise-Qwen-14B-DCG,posthoc-sc,SC pairwise Qwen2.5-14B-Instruct DCG,0.7,0.7222,0.7105,0.7583,0.4346,0.01,0.4286,0.0052,38,20,18,2026-03-10T13:40:32.507262+00:00,0.0,0.0
SC-Pairwise-Qwen-14B-MRR,posthoc-sc,SC pairwise Qwen2.5-14B-Instruct MRR,0.7,0.7222,0.7105,0.7694,0.4473,0.008,0.454,0.0029,38,20,18,2026-03-10T13:40:32.850712+00:00,0.0,0.0
SC-Pairwise-Qwen-14B-Majority@k,posthoc-sc,SC pairwise Qwen2.5-14B-Instruct Majority@k,0.7,0.7222,0.7105,0.8194,0.625,0.001,0.5857,0.0001,38,20,18,2026-03-10T13:40:33.161697+00:00,0.0,0.0
SC-Setwise-Qwen-7B-DCG,posthoc-sc,SC setwise Qwen2.5-7B-Instruct DCG,0.7,0.5556,0.6316,0.725,0.3966,0.015,0.4643,0.0022,38,20,18,2026-03-10T13:40:33.509798+00:00,0.0,0.0
SC-Setwise-Qwen-7B-MRR,posthoc-sc,SC setwise Qwen2.5-7B-Instruct MRR,0.7,0.5556,0.6316,0.7361,0.4093,0.013,0.4774,0.0016,38,20,18,2026-03-10T13:40:33.857624+00:00,0.0,0.0
SC-Setwise-Qwen-7B-Majority@k,posthoc-sc,SC setwise Qwen2.5-7B-Instruct Majority@k,0.7,0.6111,0.6579,0.7097,0.4031,0.021,0.4473,0.0034,38,20,18,2026-03-10T13:40:34.206849+00:00,0.0,0.0
SC-Setwise-Qwen-14B-DCG,posthoc-sc,SC setwise Qwen2.5-14B-Instruct DCG,0.8,0.6111,0.7105,0.7611,0.4515,0.008,0.4651,0.0022,38,20,18,2026-03-10T13:40:34.628610+00:00,0.0,0.0
SC-Setwise-Qwen-14B-MRR,posthoc-sc,SC setwise Qwen2.5-14B-Instruct MRR,0.8,0.6111,0.7105,0.7694,0.4726,0.005,0.4826,0.0014,38,20,18,2026-03-10T13:40:34.929929+00:00,0.0,0.0
SC-Setwise-Qwen-14B-Majority@k,posthoc-sc,SC setwise Qwen2.5-14B-Instruct Majority@k,0.75,0.5556,0.6579,0.7306,0.4329,0.015,0.482,0.0014,38,20,18,2026-03-10T13:40:35.254031+00:00,0.0,0.0
SC-Setwise-R1-7B-DCG,posthoc-sc,SC setwise Qwen2.5-7B-Instruct DCG,0.85,0.6111,0.7368,0.7361,0.4262,0.007,0.4637,0.0023,38,20,18,2026-03-10T13:40:35.607548+00:00,0.0,0.0
SC-Setwise-R1-7B-MRR,posthoc-sc,SC setwise Qwen2.5-7B-Instruct MRR,0.85,0.6111,0.7368,0.75,0.4684,0.002,0.489,0.0012,38,20,18,2026-03-10T13:40:36.059730+00:00,0.0,0.0
SC-Setwise-R1-7B-Majority@k,posthoc-sc,SC setwise Qwen2.5-7B-Instruct Majority@k,0.75,0.6111,0.6842,0.7417,0.4557,0.01,0.5036,0.0008,38,20,18,2026-03-10T13:40:36.519683+00:00,0.0,0.0
SC-Setwise-R1-14B-DCG,posthoc-sc,SC setwise Qwen2.5-14B-Instruct DCG,0.8,0.6111,0.7105,0.8028,0.519,0.002,0.5149,0.0006,38,20,18,2026-03-10T13:40:36.885151+00:00,0.0,0.0
SC-Setwise-R1-14B-MRR,posthoc-sc,SC setwise Qwen2.5-14B-Instruct MRR,0.8,0.6111,0.7105,0.7944,0.519,0.002,0.5222,0.0005,38,20,18,2026-03-10T13:40:37.348761+00:00,0.0,0.0
SC-Setwise-R1-14B-Majority@k,posthoc-sc,SC setwise Qwen2.5-14B-Instruct Majority@k,0.85,0.7222,0.7895,0.8111,0.5913,0.001,0.5642,0.0001,38,20,18,2026-03-10T13:40:37.722457+00:00,0.0,0.0
SC-Setwise-SFT-7B-DCG,posthoc-sc,SC setwise Qwen2.5-7B-Instruct DCG,0.85,0.4444,0.6579,0.7194,0.3966,0.025,0.4279,0.0053,38,20,18,2026-03-10T13:40:38.142348+00:00,0.0,0.0
SC-Setwise-SFT-7B-MRR,posthoc-sc,SC setwise Qwen2.5-7B-Instruct MRR,0.85,0.3889,0.6316,0.7194,0.3882,0.029,0.4361,0.0044,38,20,18,2026-03-10T13:40:38.458730+00:00,0.0,0.0
SC-Setwise-SFT-7B-Majority@k,posthoc-sc,SC setwise Qwen2.5-7B-Instruct Majority@k,0.85,0.5,0.6842,0.8319,0.6223,0.001,0.6441,0.0,38,20,18,2026-03-10T13:40:38.768937+00:00,0.0,0.0
NED,prehoc,Named Entity Density,0.95,0.0,0.5,0.5556,0.2057,0.4416,0.1622,0.3111,38,20,18,2026-03-10T13:40:39.116275+00:00,0.0,0.0
IDF-Coverage,prehoc,IDF Coverage,0.0,1.0,0.4737,0.5389,0.0759,0.6583,0.1702,0.2872,38,20,18,2026-03-10T13:40:39.420405+00:00,0.0,0.0
QTC,prehoc,Query Term Coherence,1.0,0.0,0.5263,0.4389,-0.1013,0.5435,-0.2034,0.202,38,20,18,2026-03-10T13:40:39.728528+00:00,0.0,0.0
WIG,qpp,QPP-WIG,0.0,1.0,0.4737,0.5694,0.1181,0.4895,0.1878,0.2398,38,20,18,2026-03-10T13:40:40.046711+00:00,0.0,0.0
NQC,qpp,QPP-NQC,1.0,0.0,0.5263,0.4139,-0.1519,0.3716,-0.0787,0.6249,38,20,18,2026-03-10T13:40:40.363909+00:00,0.0,0.0
Clarity,qpp,QPP-Clarity,0.7,0.3333,0.5263,0.475,-0.038,0.8432,-0.0218,0.8925,38,20,18,2026-03-10T13:40:40.675069+00:00,0.0,0.0
SMV,qpp,QPP-SMV,0.0,1.0,0.4737,0.5833,0.1519,0.3886,0.1235,0.4416,38,20,18,2026-03-10T13:40:40.970814+00:00,0.0,0.0
TDC,prehoc,Top-k Doc Coherence,0.15,0.8889,0.5,0.5444,0.0802,0.6324,0.1648,0.3033,38,20,18,2026-03-10T13:40:41.361924+00:00,0.0,0.0
SC-Setwise-SFT-14B-DCG,posthoc-sc,SC setwise Qwen2.5-14B-Instruct DCG,0.85,0.5556,0.7105,0.6833,0.3291,0.0569,0.453,0.0029,38,20,18,2026-03-10T13:40:41.693292+00:00,0.0,0.0
SC-Setwise-SFT-14B-MRR,posthoc-sc,SC setwise Qwen2.5-14B-Instruct MRR,0.85,0.5556,0.7105,0.6972,0.3544,0.038,0.4797,0.0015,38,20,18,2026-03-10T13:40:41.998095+00:00,0.0,0.0
SC-Setwise-SFT-14B-Majority@k,posthoc-sc,SC setwise Qwen2.5-14B-Instruct Majority@k,0.85,0.5556,0.7105,0.7347,0.4397,0.009,0.4918,0.0011,38,20,18,2026-03-10T13:40:42.352734+00:00,0.0,0.0
Pairwise-Qwen-72B-DCG,posthoc,Qwen-72B pairwise DCG,0.55,0.7778,0.6579,0.7194,0.4051,0.015,0.4003,0.0095,38,20,18,2026-03-10T13:40:42.656630+00:00,0.0,0.0
Pairwise-Qwen-72B-MRR,posthoc,Qwen-72B pairwise MRR,0.55,0.7778,0.6579,0.7389,0.4388,0.012,0.4347,0.0045,38,20,18,2026-03-10T13:40:42.973897+00:00,0.0,0.0
Pairwise-Qwen-72B-Majority@k,posthoc,Qwen-72B pairwise Majority@k,0.5,0.6111,0.5526,0.7611,0.5474,0.005,0.5538,0.0002,38,20,18,2026-03-10T13:40:43.280672+00:00,0.0,0.0
Setwise-Qwen-72B-DCG,posthoc,Qwen-72B setwise DCG,0.7,0.6111,0.6579,0.6833,0.3418,0.047,0.399,0.0098,38,20,18,2026-03-10T13:40:43.612208+00:00,0.0,0.0
Setwise-Qwen-72B-MRR,posthoc,Qwen-72B setwise MRR,0.65,0.6111,0.6316,0.6889,0.3502,0.044,0.4081,0.0081,38,20,18,2026-03-10T13:40:43.928449+00:00,0.0,0.0
Setwise-Qwen-72B-Majority@k,posthoc,Qwen-72B setwise Majority@k,0.45,0.5556,0.5,0.7069,0.641,0.003,0.5928,0.0001,38,20,18,2026-03-10T13:40:44.203748+00:00,0.0,0.0
R1-7b-DCG,posthoc,Rank-R1 7b DCG,0.7,0.6667,0.6842,0.7403,0.4545,0.008,0.4746,0.0017,38,20,18,2026-03-10T13:40:44.605337+00:00,0.0,0.0
SC-Pairwise-Qwen-72B-DCG,posthoc-sc,SC Qwen-72B pairwise DCG,0.55,0.7222,0.6316,0.7111,0.3797,0.031,0.4139,0.0071,38,20,18,2026-03-10T13:40:44.927115+00:00,0.0,0.0
SC-Pairwise-Qwen-72B-MRR,posthoc-sc,SC Qwen-72B pairwise MRR,0.55,0.7222,0.6316,0.7222,0.4093,0.018,0.4391,0.0041,38,20,18,2026-03-10T13:40:45.259965+00:00,0.0,0.0
SC-Pairwise-Qwen-72B-Majority@k,posthoc-sc,SC Qwen-72B pairwise Majority@k,0.55,0.6667,0.6053,0.7806,0.549,0.004,0.5704,0.0001,38,20,18,2026-03-10T13:40:45.620294+00:00,0.0,0.0
SC-Setwise-Qwen-72B-DCG,posthoc-sc,SC Qwen-72B setwise DCG,0.6,0.6111,0.6053,0.6472,0.2743,0.1049,0.3634,0.0195,38,20,18,2026-03-10T13:40:45.926735+00:00,0.0,0.0
SC-Setwise-Qwen-72B-MRR,posthoc-sc,SC Qwen-72B setwise MRR,0.6,0.6111,0.6053,0.6556,0.2869,0.0949,0.3852,0.0129,38,20,18,2026-03-10T13:40:46.224757+00:00,0.0,0.0
SC-Setwise-Qwen-72B-Majority@k,posthoc-sc,SC Qwen-72B setwise Majority@k,0.45,0.5556,0.5,0.6736,0.4307,0.019,0.4771,0.0019,38,20,18,2026-03-10T13:40:46.526591+00:00,0.0,0.0
R1-14b-DCG,posthoc,Rank-R1 14b DCG,0.75,0.7222,0.7368,0.7361,0.4008,0.015,0.4295,0.0051,38,20,18,2026-03-10T13:40:46.842698+00:00,0.0,0.0
R1-7b-sft-DCG,posthoc,Rank-R1 7b-sft DCG,0.75,0.6667,0.7105,0.7833,0.481,0.004,0.4072,0.0082,38,20,18,2026-03-10T13:40:47.158509+00:00,0.0,0.0
R1-14b-sft-DCG,posthoc,Rank-R1 14b-sft DCG,0.7,0.6111,0.6579,0.6458,0.26,0.1259,0.4039,0.0088,38,20,18,2026-03-10T13:40:47.476759+00:00,0.0,0.0
DR-R1-7b,posthoc,DR ensemble R1-7b,1.0,0.0,0.5263,0.7403,0.4545,0.008,0.4746,0.0017,38,20,18,2026-03-10T13:40:47.817761+00:00,0.0,0.0
DR-R1-14b,posthoc,DR ensemble R1-14b,1.0,0.0,0.5263,0.7306,0.3966,0.017,0.4245,0.0057,38,20,18,2026-03-10T13:40:48.163937+00:00,0.0,0.0
DR-R1-7b-sft,posthoc,DR ensemble R1-7b-sft,1.0,0.0,0.5263,0.7806,0.4768,0.004,0.4017,0.0092,38,20,18,2026-03-10T13:40:48.477063+00:00,0.0,0.0
DR-R1-14b-sft,posthoc,DR ensemble R1-14b-sft,1.0,0.0,0.5263,0.6458,0.26,0.1249,0.4035,0.0089,38,20,18,2026-03-10T13:40:48.796837+00:00,0.0,0.0
SC-Mean-Pairwise-72B,posthoc-sc,Self-Consistency SC-Mean-Pairwise-72B,0.5,0.7222,0.6053,0.7056,0.384,0.025,0.3954,0.0105,38,20,18,2026-03-10T13:40:49.146064+00:00,0.0,0.0
SC-SNR-Pairwise-72B,posthoc-sc,Self-Consistency SC-SNR-Pairwise-72B,0.2,0.7222,0.4474,0.3833,-0.2494,0.1668,-0.1441,0.3689,38,20,18,2026-03-10T13:40:49.466329+00:00,0.0,0.0
SC-DR-Pairwise-72B,posthoc-sc,Self-Consistency SC-DR-Pairwise-72B,0.55,0.7222,0.6316,0.7,0.3797,0.026,0.3959,0.0104,38,20,18,2026-03-10T13:40:49.777710+00:00,0.0,0.0
SC-Mean-Setwise-72B,posthoc-sc,Self-Consistency SC-Mean-Setwise-72B,0.65,0.6111,0.6316,0.6556,0.2911,0.0899,0.3655,0.0188,38,20,18,2026-03-10T13:40:50.090454+00:00,0.0,0.0
SC-SNR-Setwise-72B,posthoc-sc,Self-Consistency SC-SNR-Setwise-72B,0.25,0.7778,0.5,0.475,-0.0459,0.8232,-0.0559,0.7287,38,20,18,2026-03-10T13:40:50.474562+00:00,0.0,0.0
SC-DR-Setwise-72B,posthoc-sc,Self-Consistency SC-DR-Setwise-72B,0.7,0.5,0.6053,0.6306,0.2405,0.1568,0.334,0.0328,38,20,18,2026-03-10T13:40:50.771239+00:00,0.0,0.0
Pairwise-Qwen3-8B-DCG,posthoc,pairwise Qwen3-8B DCG,0.4,0.7778,0.5789,0.7083,0.3869,0.02,0.4642,0.0022,38,20,18,2026-03-10T13:40:51.082015+00:00,0.0,0.0
Pairwise-Qwen3-8B-MRR,posthoc,pairwise Qwen3-8B MRR,0.4,0.7778,0.5789,0.7056,0.3814,0.021,0.4572,0.0027,38,20,18,2026-03-10T13:40:51.385488+00:00,0.0,0.0
Pairwise-Qwen3-8B-Majority@k,posthoc,pairwise Qwen3-8B Majority@k,0.45,0.5556,0.5,0.6667,0.4398,0.025,0.4017,0.0102,38,20,18,2026-03-10T13:40:51.701783+00:00,0.0,0.0
Pairwise-Qwen3-14B-DCG,posthoc,pairwise Qwen3-14B DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:40:52.030086+00:00,0.0,0.0
Pairwise-Qwen3-14B-MRR,posthoc,pairwise Qwen3-14B MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:40:52.339618+00:00,0.0,0.0
Pairwise-Qwen3-14B-Majority@k,posthoc,pairwise Qwen3-14B Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:40:52.643148+00:00,0.0,0.0
Setwise-Qwen3-8B-DCG,posthoc,setwise Qwen3-8B DCG,0.65,0.6667,0.6579,0.75,0.4219,0.009,0.489,0.0012,38,20,18,2026-03-10T13:40:52.973983+00:00,0.0,0.0
Setwise-Qwen3-8B-MRR,posthoc,setwise Qwen3-8B MRR,0.65,0.6667,0.6579,0.7528,0.4346,0.008,0.5099,0.0007,38,20,18,2026-03-10T13:40:53.274059+00:00,0.0,0.0
Setwise-Qwen3-8B-Majority@k,posthoc,setwise Qwen3-8B Majority@k,0.45,0.5,0.4737,0.7181,0.4519,0.016,0.5215,0.0005,38,20,18,2026-03-10T13:40:53.598059+00:00,0.0,0.0
Setwise-Qwen3-14B-DCG,posthoc,setwise Qwen3-14B DCG,0.85,0.6667,0.7632,0.8,0.5359,0.001,0.5112,0.0006,38,20,18,2026-03-10T13:40:53.983194+00:00,0.0,0.0
Setwise-Qwen3-14B-MRR,posthoc,setwise Qwen3-14B MRR,0.85,0.6667,0.7632,0.8083,0.5518,0.001,0.5248,0.0004,38,20,18,2026-03-10T13:40:54.362292+00:00,0.0,0.0
Setwise-Qwen3-14B-Majority@k,posthoc,setwise Qwen3-14B Majority@k,0.55,0.3889,0.4737,0.7042,0.4467,0.032,0.4838,0.0014,38,20,18,2026-03-10T13:40:54.680950+00:00,0.0,0.0
Setwise-Qwen3-8B-Think-DCG,posthoc,setwise Qwen3-8B DCG,0.55,0.6111,0.5789,0.6222,0.2025,0.2517,0.2394,0.1316,38,20,18,2026-03-10T13:40:54.992480+00:00,0.0,0.0
Setwise-Qwen3-8B-Think-MRR,posthoc,setwise Qwen3-8B MRR,0.55,0.6111,0.5789,0.6194,0.2025,0.2398,0.2339,0.141,38,20,18,2026-03-10T13:40:55.298284+00:00,0.0,0.0
Setwise-Qwen3-8B-Think-Majority@k,posthoc,setwise Qwen3-8B Majority@k,0.4,0.5,0.4474,0.6264,0.2569,0.1858,0.2557,0.1066,38,20,18,2026-03-10T13:40:55.605105+00:00,0.0,0.0
Setwise-Qwen3-14B-Think-DCG,posthoc,setwise Qwen3-14B DCG,0.65,0.6667,0.6579,0.7639,0.4557,0.005,0.4296,0.0051,38,20,18,2026-03-10T13:40:55.921245+00:00,0.0,0.0
Setwise-Qwen3-14B-Think-MRR,posthoc,setwise Qwen3-14B MRR,0.65,0.6667,0.6579,0.7722,0.4641,0.005,0.4513,0.0031,38,20,18,2026-03-10T13:40:56.239846+00:00,0.0,0.0
Setwise-Qwen3-14B-Think-Majority@k,posthoc,setwise Qwen3-14B Majority@k,0.55,0.6111,0.5789,0.7833,0.5819,0.003,0.562,0.0001,38,20,18,2026-03-10T13:40:56.542469+00:00,0.0,0.0
Pointwise-Qwen3-Reranker-4B-DCG,posthoc,pointwise Qwen3-Reranker-4B DCG,0.7,0.5,0.6053,0.6833,0.3249,0.0579,0.4633,0.0023,38,20,18,2026-03-10T13:40:56.864147+00:00,0.0,0.0
Pointwise-Qwen3-Reranker-4B-MRR,posthoc,pointwise Qwen3-Reranker-4B MRR,0.7,0.5,0.6053,0.6861,0.3248,0.0549,0.4668,0.0021,38,20,18,2026-03-10T13:40:57.177875+00:00,0.0,0.0
Pointwise-Qwen3-Reranker-4B-Majority@k,posthoc,pointwise Qwen3-Reranker-4B Majority@k,0.6,0.3333,0.4737,0.6542,0.4076,0.046,0.4939,0.0012,38,20,18,2026-03-10T13:40:57.479350+00:00,0.0,0.0
Pointwise-Qwen3-Reranker-8B-DCG,posthoc,pointwise Qwen3-Reranker-8B DCG,0.8,0.6667,0.7368,0.7208,0.4038,0.016,0.5311,0.0004,38,20,18,2026-03-10T13:40:57.841205+00:00,0.0,0.0
Pointwise-Qwen3-Reranker-8B-MRR,posthoc,pointwise Qwen3-Reranker-8B MRR,0.8,0.6667,0.7368,0.7236,0.408,0.015,0.5351,0.0003,38,20,18,2026-03-10T13:40:58.164115+00:00,0.0,0.0
Pointwise-Qwen3-Reranker-8B-Majority@k,posthoc,pointwise Qwen3-Reranker-8B Majority@k,0.55,0.3889,0.4737,0.5653,0.3631,0.1109,0.479,0.0023,38,20,18,2026-03-10T13:40:58.434816+00:00,0.0,0.0
SC-Pairwise-Qwen3-8B-DCG,posthoc-sc,SC pairwise Qwen3-8B DCG,0.4,0.7778,0.5789,0.6861,0.3122,0.0619,0.4225,0.0059,38,20,18,2026-03-10T13:40:58.757438+00:00,0.0,0.0
SC-Pairwise-Qwen3-8B-MRR,posthoc-sc,SC pairwise Qwen3-8B MRR,0.4,0.7778,0.5789,0.6861,0.308,0.0649,0.4173,0.0066,38,20,18,2026-03-10T13:40:59.067431+00:00,0.0,0.0
SC-Pairwise-Qwen3-8B-Majority@k,posthoc-sc,SC pairwise Qwen3-8B Majority@k,0.45,0.6111,0.5263,0.6486,0.2791,0.1079,0.3364,0.0315,38,20,18,2026-03-10T13:40:59.382927+00:00,0.0,0.0
SC-Setwise-Qwen3-8B-DCG,posthoc-sc,SC setwise Qwen3-8B DCG,0.7,0.6667,0.6842,0.825,0.5738,0.001,0.6128,0.0,38,20,18,2026-03-10T13:40:59.814141+00:00,0.0,0.0
SC-Setwise-Qwen3-8B-MRR,posthoc-sc,SC setwise Qwen3-8B MRR,0.7,0.6667,0.6842,0.825,0.5738,0.001,0.6182,0.0,38,20,18,2026-03-10T13:41:00.146373+00:00,0.0,0.0
SC-Setwise-Qwen3-8B-Majority@k,posthoc-sc,SC setwise Qwen3-8B Majority@k,0.6,0.7222,0.6579,0.8181,0.576,0.002,0.6637,0.0,38,20,18,2026-03-10T13:41:00.461428+00:00,0.0,0.0
SC-Setwise-Qwen3-14B-DCG,posthoc-sc,SC setwise Qwen3-14B DCG,0.8,0.7222,0.7632,0.7694,0.481,0.004,0.5047,0.0008,38,20,18,2026-03-10T13:41:00.762018+00:00,0.0,0.0
SC-Setwise-Qwen3-14B-MRR,posthoc-sc,SC setwise Qwen3-14B MRR,0.8,0.6667,0.7368,0.7861,0.4979,0.003,0.5255,0.0004,38,20,18,2026-03-10T13:41:01.176894+00:00,0.0,0.0
SC-Setwise-Qwen3-14B-Majority@k,posthoc-sc,SC setwise Qwen3-14B Majority@k,0.7,0.7222,0.7105,0.7931,0.5643,0.001,0.608,0.0,38,20,18,2026-03-10T13:41:01.503841+00:00,0.0,0.0
Pairwise-Llama-8B-DCG,posthoc,pairwise Llama-3.1-8B-Instruct DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:01.803881+00:00,0.0,0.0
Pairwise-Llama-8B-MRR,posthoc,pairwise Llama-3.1-8B-Instruct MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:02.112285+00:00,0.0,0.0
Pairwise-Llama-8B-Majority@k,posthoc,pairwise Llama-3.1-8B-Instruct Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:02.432018+00:00,0.0,0.0
Pairwise-Mistral-7B-DCG,posthoc,pairwise Mistral-7B-Instruct-v0.3 DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:02.737719+00:00,0.0,0.0
